64 36 40
../_Textures/Map/TilesetNatureRight.png 21 24
0.000000 0.083333 0.047619 0.125000
0.000000 0.083333 0.047619 0.125000
0.000000 0.083333 0.047619 0.125000
0.000000 0.083333 0.047619 0.125000
0.000000 0.083333 0.047619 0.125000
0.000000 0.083333 0.047619 0.125000
0.000000 0.083333 0.047619 0.125000
0.000000 0.083333 0.047619 0.125000
0.000000 0.083333 0.047619 0.125000
0.000000 0.083333 0.047619 0.125000
0.000000 0.083333 0.047619 0.125000
0.000000 0.083333 0.047619 0.125000
0.000000 0.083333 0.047619 0.125000
0.000000 0.083333 0.047619 0.125000
0.000000 0.083333 0.047619 0.125000
0.000000 0.083333 0.047619 0.125000
0.000000 0.083333 0.047619 0.125000
0.000000 0.083333 0.047619 0.125000
0.000000 0.083333 0.047619 0.125000
0.000000 0.083333 0.047619 0.125000
0.000000 0.083333 0.047619 0.125000
0.000000 0.083333 0.047619 0.125000
0.000000 0.083333 0.047619 0.125000
0.000000 0.083333 0.047619 0.125000
0.000000 0.083333 0.047619 0.125000
0.000000 0.083333 0.047619 0.125000
0.000000 0.083333 0.047619 0.125000
0.000000 0.083333 0.047619 0.125000
0.000000 0.083333 0.047619 0.125000
0.000000 0.083333 0.047619 0.125000
0.000000 0.083333 0.047619 0.125000
0.000000 0.083333 0.047619 0.125000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.000000 0.000000 0.000000
0.000000 0.083333 0.047619 0.125000
0.000000 0.083333 0.047619 0.125000
0.000000 0.083333 0.047619 0.125000
0.000000 0.083333 0.047619 0.125000
0.000000 0.083333 0.047619 0.125000
0.000000 0.083333 0.047619 0.125000
0.000000 0.083333 0.047619 0.125000
0.000000 0.083333 0.047619 0.125000
0.000000 0.083333 0.047619 0.125000
